fips_code,county,state,customers_out,run_start_time
1037,Coosa,Alabama,12,11/1/2014 4:00
1051,Elmore,Alabama,7,11/1/2014 4:00
1109,Pike,Alabama,1,11/1/2014 4:00
1121,Talladega,Alabama,31,11/1/2014 4:00
4017,Navajo,Arizona,1,11/1/2014 4:00
5009,Boone,Arkansas,3,11/1/2014 4:00
5119,Pulaski,Arkansas,1,11/1/2014 4:00
6029,Kern,California,30,11/1/2014 4:00
6037,Los Angeles,California,1555,11/1/2014 4:00
6065,Riverside,California,2,11/1/2014 4:00
6113,Yolo,California,1,11/1/2014 4:00
8001,Adams,Colorado,1,11/1/2014 4:00
8059,Jefferson,Colorado,19,11/1/2014 4:00
8097,Pitkin,Colorado,1,11/1/2014 4:00
12011,Broward,Florida,17,11/1/2014 4:00
12021,Collier,Florida,14,11/1/2014 4:00
12069,Lake,Florida,1,11/1/2014 4:00
12071,Lee,Florida,1,11/1/2014 4:00
12085,Martin,Florida,12,11/1/2014 4:00
12086,Miami-Dade,Florida,72,11/1/2014 4:00
12091,Okaloosa,Florida,2,11/1/2014 4:00
12095,Orange,Florida,1,11/1/2014 4:00
12099,Palm Beach,Florida,37,11/1/2014 4:00
12105,Polk,Florida,3,11/1/2014 4:00
12115,Sarasota,Florida,2,11/1/2014 4:00
12121,Suwannee,Florida,2,11/1/2014 4:00
12127,Volusia,Florida,1,11/1/2014 4:00
13021,Bibb,Georgia,1298,11/1/2014 4:00
13051,Chatham,Georgia,4,11/1/2014 4:00
13055,Chattooga,Georgia,61,11/1/2014 4:00
13057,Cherokee,Georgia,58,11/1/2014 4:00
13063,Clayton,Georgia,24,11/1/2014 4:00
13083,Dade,Georgia,511,11/1/2014 4:00
13085,Dawson,Georgia,1,11/1/2014 4:00
13089,DeKalb,Georgia,262,11/1/2014 4:00
13097,Douglas,Georgia,20,11/1/2014 4:00
13103,Effingham,Georgia,5,11/1/2014 4:00
13121,Fulton,Georgia,295,11/1/2014 4:00
13123,Gilmer,Georgia,27,11/1/2014 4:00
13135,Gwinnett,Georgia,55,11/1/2014 4:00
13145,Harris,Georgia,26,11/1/2014 4:00
13151,Henry,Georgia,1,11/1/2014 4:00
13153,Houston,Georgia,5,11/1/2014 4:00
13171,Lamar,Georgia,2,11/1/2014 4:00
13187,Lumpkin,Georgia,30,11/1/2014 4:00
13193,Macon,Georgia,323,11/1/2014 4:00
13197,Marion,Georgia,29,11/1/2014 4:00
13199,Meriwether,Georgia,40,11/1/2014 4:00
13207,Monroe,Georgia,23,11/1/2014 4:00
13215,Muscogee,Georgia,112,11/1/2014 4:00
13217,Newton,Georgia,1,11/1/2014 4:00
13231,Pike,Georgia,33,11/1/2014 4:00
13269,Taylor,Georgia,18,11/1/2014 4:00
17011,Bureau,Illinois,1,11/1/2014 4:00
17031,Cook,Illinois,4231,11/1/2014 4:00
17035,Cumberland,Illinois,1,11/1/2014 4:00
17037,DeKalb,Illinois,1,11/1/2014 4:00
17043,DuPage,Illinois,32,11/1/2014 4:00
17075,Iroquois,Illinois,1,11/1/2014 4:00
17091,Kankakee,Illinois,86,11/1/2014 4:00
17095,Knox,Illinois,2,11/1/2014 4:00
17097,Lake,Illinois,26,11/1/2014 4:00
17099,LaSalle,Illinois,13,11/1/2014 4:00
17111,McHenry,Illinois,1,11/1/2014 4:00
17119,Madison,Illinois,1,11/1/2014 4:00
17143,Peoria,Illinois,1,11/1/2014 4:00
17179,Tazewell,Illinois,1,11/1/2014 4:00
17197,Will,Illinois,39,11/1/2014 4:00
17201,Winnebago,Illinois,73,11/1/2014 4:00
17203,Woodford,Illinois,16,11/1/2014 4:00
18001,Adams,Indiana,68,11/1/2014 4:00
18003,Allen,Indiana,1660,11/1/2014 4:00
18013,Brown,Indiana,3,11/1/2014 4:00
18021,Clay,Indiana,1,11/1/2014 4:00
18031,Decatur,Indiana,34,11/1/2014 4:00
18033,DeKalb,Indiana,1,11/1/2014 4:00
18041,Fayette,Indiana,613,11/1/2014 4:00
18045,Fountain,Indiana,143,11/1/2014 4:00
18057,Hamilton,Indiana,88,11/1/2014 4:00
18063,Hendricks,Indiana,57,11/1/2014 4:00
18069,Huntington,Indiana,31,11/1/2014 4:00
18091,LaPorte,Indiana,54,11/1/2014 4:00
18095,Madison,Indiana,31,11/1/2014 4:00
18097,Marion,Indiana,337,11/1/2014 4:00
18099,Marshall,Indiana,5,11/1/2014 4:00
18105,Monroe,Indiana,101,11/1/2014 4:00
18107,Montgomery,Indiana,31,11/1/2014 4:00
18109,Morgan,Indiana,40,11/1/2014 4:00
18141,St. Joseph,Indiana,107,11/1/2014 4:00
18145,Shelby,Indiana,299,11/1/2014 4:00
18153,Sullivan,Indiana,1,11/1/2014 4:00
18157,Tippecanoe,Indiana,358,11/1/2014 4:00
18167,Vigo,Indiana,224,11/1/2014 4:00
18171,Warren,Indiana,55,11/1/2014 4:00
19033,Cerro Gordo,Iowa,1,11/1/2014 4:00
19113,Linn,Iowa,2,11/1/2014 4:00
20045,Douglas,Kansas,45,11/1/2014 4:00
20091,Johnson,Kansas,2,11/1/2014 4:00
20173,Sedgwick,Kansas,1,11/1/2014 4:00
20209,Wyandotte,Kansas,1,11/1/2014 4:00
21013,Bell,Kentucky,10,11/1/2014 4:00
21055,Crittenden,Kentucky,2,11/1/2014 4:00
21095,Harlan,Kentucky,281,11/1/2014 4:00
21117,Kenton,Kentucky,70,11/1/2014 4:00
21119,Knott,Kentucky,5,11/1/2014 4:00
21131,Leslie,Kentucky,49,11/1/2014 4:00
22033,East Baton Rouge,Louisiana,4,11/1/2014 4:00
22051,Jefferson,Louisiana,27,11/1/2014 4:00
22071,Orleans,Louisiana,1079,11/1/2014 4:00
22073,Ouachita,Louisiana,4,11/1/2014 4:00
22087,St. Bernard,Louisiana,10,11/1/2014 4:00
22105,Tangipahoa,Louisiana,1,11/1/2014 4:00
22117,Washington,Louisiana,28,11/1/2014 4:00
23019,Penobscot,Maine,32,11/1/2014 4:00
24003,Anne Arundel,Maryland,13,11/1/2014 4:00
24005,Baltimore,Maryland,3,11/1/2014 4:00
